Date,密云区,延庆区,朝阳区,丰台区,石景山区,海淀区,门头沟区,房山区,通州区,顺义区,昌平区,大兴区,怀柔区,平谷区,东城区,西城区,Beijing,外来
43851,0,0,,1,0,2,0,0,1,0,2,2,0,0,0,1,10,1
43852,0,0,1.0,1,1,2,0,0,1,0,2,2,0,0,0,2,14,2
43853,0,0,3.0,2,1,3,0,0,2,1,2,2,0,0,0,3,26,7
43854,0,0,5.0,2,1,6,0,0,2,1,3,2,0,0,0,4,36,10
43855,0,0,8.0,3,1,10,0,0,4,1,5,2,0,0,1,5,51,11
43856,0,0,11.0,4,2,16,0,0,6,1,7,3,0,0,1,5,68,12
43857,0,0,17.0,4,2,17,0,0,7,1,7,5,0,0,2,7,80,11
43858,0,0,17.0,7,2,21,0,0,7,2,7,7,0,0,2,8,91,11
43859,0,0,19.0,8,2,23,3,0,7,2,8,10,0,0,2,9,102,11
43860,0,0,22.0,11,2,26,1,0,12,2,12,16,1,0,3,13,132,11
43861,0,0,27.0,12,3,35,1,0,13,2,12,19,1,0,3,17,156,11
43862,0,0,35.0,16,4,41,1,2,13,6,12,21,1,0,3,17,183,11
43863,0,1,31.0,17,5,42,3,4,13,5,13,28,3,0,2,26,212,19
43864,0,1,36.0,18,6,45,3,5,13,5,14,29,3,0,2,28,228,20
43865,0,1,43.0,20,7,45,3,11,13,6,15,29,4,0,6,29,253,21
43866,0,1,48.0,20,11,47,3,11,13,6,15,32,5,0,7,34,274,21
43867,0,1,51.0,22,13,47,3,13,14,8,17,34,7,0,7,36,297,24
43868,4,1,53.0,26,13,49,3,14,15,9,17,34,7,0,8,37,315,25
43869,5,1,55.0,27,13,52,3,14,16,10,17,35,7,0,9,38,326,24
43870,6,1,56.0,30,13,54,3,14,16,10,18,36,7,0,9,39,337,25
43871,6,1,56.0,30,13,57,3,14,17,10,19,36,7,0,9,39,342,25
43872,7,1,56.0,32,13,56,3,14,17,10,19,37,7,0,12,43,352,25
43873,7,1,56.0,36,13,56,3,14,17,10,24,38,7,0,12,46,366,26
43874,7,1,58.0,36,14,58,3,14,17,10,24,39,7,0,12,46,372,26
43875,7,1,58.0,38,14,59,3,14,17,10,24,39,7,0,12,46,375,26
43876,7,1,58.0,39,14,60,3,15,18,10,25,39,7,0,12,46,380,26
43877,7,1,58.0,39,14,60,3,16,18,10,25,39,7,0,12,46,381,26
43878,7,1,58.0,40,14,60,3,16,18,10,29,39,7,0,12,47,387,26
43879,7,1,58.0,40,14,61,3,16,18,10,29,39,7,0,12,52,393,26
43880,7,1,58.0,40,14,61,3,16,19,10,29,39,7,0,12,53,395,26
43881,7,1,58.0,41,14,61,3,16,19,10,29,39,7,0,12,53,396,26
43882,7,1,60.0,41,14,62,3,16,19,10,29,39,7,0,12,53,399,26
43883,7,1,60.0,41,14,62,3,16,19,10,29,39,7,0,12,53,399,26
43884,7,1,60.0,41,14,62,3,16,19,10,29,39,7,0,12,53,399,26
43885,7,1,61.0,41,14,62,3,16,19,10,29,39,7,0,13,53,400,25
43886,7,1,61.0,41,14,62,3,16,19,10,29,39,7,0,13,53,400,25
43887,7,1,70.0,42,14,62,3,16,19,10,29,39,7,0,13,53,410,25
43888,7,1,71.0,42,14,62,3,16,19,10,29,39,7,0,13,53,410,25
43889,7,1,71.0,42,14,62,3,16,19,10,29,39,7,0,13,53,411,25
43890,7,1,71.0,42,14,62,3,16,19,10,29,39,7,0,13,53,413,27
43891,7,1,71.0,42,14,63,3,16,19,10,29,39,7,0,13,53,414,25
